rating,specs_score,likes,disp_diag,camera,storage,ram,battery_capacity,disp_height,disp_width,oper_syst_vers,year_of_release,log_price,density,Other_oper_syst,battery_type_LiPo,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Hotwav,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi,hat_log_price
3.5,54,57,6.5,8.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,9.746775261248594,172800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.771254533331847
3.3,100,113,6.4,16.0,128.0,6.0,6000.0,2400.0,1080.0,9,2019,10.146394514691288,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.190381247879442
4.1,94,98,6.4,16.0,64.0,4.0,6000.0,2400.0,1080.0,9,2019,9.975808214115753,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.004560844770925
2.8,53,30,6.4,8.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,9.642057851228413,175500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.702799185002592
3.7,70,77,6.4,16.0,128.0,4.0,4000.0,1560.0,720.0,9,2019,9.998752276761909,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.096145502976395
1.8,67,58,6.4,16.0,64.0,4.0,4000.0,1560.0,720.0,9,2019,9.9281801651265,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.84674644609318
3.8,63,28,6.4,16.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,10.056165720177834,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.86260192522553
3.9,95,69,6.4,32.0,128.0,6.0,4000.0,2340.0,1080.0,9,2019,10.239924074233857,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.44507633493322
4.8,88,20,6.4,32.0,64.0,4.0,4000.0,2340.0,1080.0,9,2019,10.106387579373278,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.273603902068563
4.5,100,34,6.8,10.0,512.0,12.0,4300.0,3040.0,1440.0,9,2019,10.714395546283317,643764.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.49694407698407
2.7,92,73,6.8,10.0,256.0,12.0,4300.0,3040.0,1440.0,9,2019,10.714395546283317,643764.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.848091107698556
2.3,100,30,6.8,10.0,512.0,12.0,4300.0,3040.0,1440.0,9,2019,10.714395546283317,643764.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.355484294606304
4.0,92,53,6.8,10.0,256.0,12.0,4300.0,3040.0,1440.0,9,2019,11.326583838513384,643764.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.93686135972436
4.1,81,31,6.3,10.0,256.0,8.0,3500.0,2280.0,1080.0,9,2019,11.184407509012852,390857.14285714284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.65919147175492
4.2,60,46,5.9,25.0,64.0,4.0,3100.0,2340.0,1080.0,9,2019,9.998752276761909,428338.9830508474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.242535636696504
4.3,81,44,6.3,16.0,128.0,6.0,3500.0,2340.0,1080.0,9,2019,10.184900011974314,401142.85714285716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.381223231630912
4.3,81,92,6.3,16.0,128.0,6.0,3500.0,2340.0,1080.0,9,2019,10.126631103850338,401142.85714285716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.370104365908325
3.6,75,260,6.4,25.0,128.0,4.0,4000.0,2340.0,1080.0,9,2019,10.203555107263542,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.217431284554443
3.4,51,21,5.8,8.0,32.0,3.0,3000.0,1560.0,720.0,9,2019,9.758403975346978,193655.1724137931,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.8443163238434
2.8,40,17,5.0,5.0,8.0,1.0,2600.0,960.0,540.0,8,2019,9.082507000466299,103680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.587321356097998
3.7,63,101,6.3,8.0,64.0,4.0,5000.0,2340.0,1080.0,8,2019,9.82547195555139,401142.85714285716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.961074955976892
3.6,83,286,6.7,32.0,128.0,6.0,4500.0,2400.0,1080.0,9,2019,10.404262840448617,386865.671641791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.34218445489833
2.9,53,183,6.4,8.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,9.758403975346978,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.707027439184973
2.8,52,23,6.22,5.0,32.0,3.0,3400.0,1520.0,720.0,8,2019,9.602314889901848,175948.5530546624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.71243015020804
3.4,62,197,6.4,16.0,64.0,4.0,4000.0,2340.0,1080.0,9,2019,10.056165720177834,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.01915188185522
3.9,63,104,6.4,16.0,64.0,4.0,5000.0,2280.0,1080.0,9,2019,10.06475570013225,384750.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.024645219384011
4.5,58,10,5.0,13.0,32.0,3.0,2620.0,1920.0,1080.0,6,2016,9.467228129254554,414720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.138272372013422
4.0,70,6,5.5,51.0,32.0,3.0,3430.0,3840.0,2160.0,5,2015,10.584055950889214,1508072.7272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.819237068626482
3.5,62,9,5.2,51.0,32.0,3.0,2900.0,1920.0,1080.0,5,2015,9.903487552536127,398769.23076923075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.306038262902007
3.3,40,15,5.5,5.0,16.0,2.0,2620.0,1280.0,720.0,7,2017,9.51044496442652,167563.63636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.818407980281664
5.0,98,10,6.39,32.0,128.0,6.0,4000.0,2340.0,1080.0,9,2019,10.308919326755392,395492.9577464789,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.327164183629847
5.0,81,12,6.39,16.0,128.0,8.0,4000.0,2340.0,1080.0,9,2019,10.308919326755392,395492.9577464789,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.314100856750052
5.0,77,10,6.39,16.0,128.0,6.0,4000.0,2340.0,1080.0,9,2019,10.308919326755392,395492.9577464789,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.204322479100277
3.6,63,15,6.3,16.0,64.0,4.0,3300.0,2340.0,1080.0,9,2018,9.77984991207795,401142.85714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.839004424737828
4.5,55,12,5.7,16.0,32.0,3.0,3000.0,2160.0,1080.0,8,2018,9.740968623038354,409263.15789473685,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.842767434331531
4.5,50,9,5.7,8.0,32.0,3.0,3000.0,1440.0,720.0,7,2018,9.305559638557117,181894.73684210525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.644111886508675
3.0,66,24,5.5,13.0,64.0,4.0,4000.0,1920.0,1080.0,7,2017,9.546812608597396,377018.1818181818,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.752108239762348
2.0,48,6,5.0,8.0,16.0,2.0,2700.0,1920.0,1080.0,5,2016,9.769956159911606,414720.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.49698553482844
2.5,41,2,6.98,5.0,16.0,1.0,4250.0,1280.0,720.0,5,2015,9.302919553269277,132034.3839541547,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.16883230041506
3.0,50,5,6.8,5.0,32.0,2.0,3500.0,1920.0,1080.0,5,2015,9.302919553269277,304941.17647058825,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.405369470927184
4.0,52,4,5.0,5.0,32.0,2.0,2300.0,1920.0,1080.0,4,2014,9.903487552536127,414720.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.584464770602839
3.8,58,105,6.2,24.0,64.0,6.0,3750.0,1500.0,720.0,8,2018,9.825526011066415,174193.54838709676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.981030350923103
3.2,44,90,6.2,16.0,16.0,2.0,3750.0,1500.0,720.0,8,2018,9.392578591964389,174193.54838709676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.565645493775241
4.0,43,52,6.0,8.0,32.0,2.0,3500.0,1440.0,720.0,8,2018,9.532423871145296,172800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.61290387801844
3.4,40,172,6.0,8.0,16.0,1.0,3500.0,1440.0,720.0,8,2018,9.259130536145614,172800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.458445679430321
3.1,29,22,5.0,5.0,8.0,1.0,2400.0,480.0,854.0,8,2018,9.608445125678054,81984.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.466166421599317
4.0,48,77,6.0,13.0,16.0,3.0,5000.0,720.0,1440.0,8,2018,9.680344001221918,172800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.635492414653129
3.7,46,81,6.0,8.0,16.0,2.0,5000.0,720.0,1440.0,8,2018,9.51044496442652,172800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.521640656912233
3.8,29,38,5.5,5.0,8.0,1.0,2400.0,480.0,960.0,7,2018,9.104979856318357,83781.81818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.495848621693197
3.4,28,38,5.0,2.0,8.0,1.0,2000.0,480.0,854.0,7,2018,9.392578591964389,81984.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.476342094060946
3.9,56,77,6.0,20.0,16.0,3.0,3750.0,1440.0,720.0,8,2017,9.350015354048665,172800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.702646543991325
