phone_title,const,rating,disp_diag,camera,storage,ram,battery_capacity,year_of_release,log_price,density,Other_oper_syst,battery_type_LiPo,brand_Apple,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo
Samsung Galaxy M30s 6GB/128GB,1.0,3.3,6.4,16.0,128.0,6.0,6.0,2019,10.146394514691288,6.328124999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M30s 4GB/64GB,1.0,4.1,6.4,16.0,64.0,4.0,6.0,2019,9.975808214115753,6.328124999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M10s 3GB/32GB,1.0,2.8,6.4,8.0,32.0,3.0,4.0,2019,9.642057851228413,2.7421874999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A30s 4GB/128GB,1.0,3.7,6.4,16.0,128.0,4.0,4.0,2019,9.998752276761909,2.7421874999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A30s 4GB/64GB,1.0,1.8,6.4,16.0,64.0,4.0,4.0,2019,9.9281801651265,2.7421874999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A30s 3GB/32GB,1.0,3.8,6.4,16.0,32.0,3.0,4.0,2019,10.056165720177834,2.7421874999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A50s 6GB/128GB,1.0,3.9,6.4,32.0,128.0,6.0,4.0,2019,10.239924074233857,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A50s 4GB/64GB,1.0,4.8,6.4,32.0,64.0,4.0,4.0,2019,10.106387579373278,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy Note 10+ (Note 10 Plus) 5G 12GB/51...,1.0,4.5,6.8,10.0,512.0,12.0,4.3,2019,10.714395546283317,9.467128027681662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy Note 10+ (Note 10 Plus) 5G 12GB/25...,1.0,2.7,6.8,10.0,256.0,12.0,4.3,2019,10.714395546283317,9.467128027681662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy Note 10+ (Note 10 Plus) 12GB/512GB,1.0,2.3,6.8,10.0,512.0,12.0,4.3,2019,10.714395546283317,9.467128027681662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy Note 10+ (Note 10 Plus) 12GB/256GB,1.0,4.0,6.8,10.0,256.0,12.0,4.3,2019,11.326583838513384,9.467128027681662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy Note 10 8GB/256GB,1.0,4.1,6.3,10.0,256.0,8.0,3.5,2019,11.184407509012852,6.204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A40,1.0,4.2,5.9,25.0,64.0,4.0,3.1,2019,9.998752276761909,7.259982763573686,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M40 6GB/128GB,1.0,4.3,6.3,16.0,128.0,6.0,3.5,2019,10.184900011974314,6.36734693877551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A60,1.0,4.3,6.3,16.0,128.0,6.0,3.5,2019,10.126631103850338,6.36734693877551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A50 128GB 4GB,1.0,3.6,6.4,25.0,128.0,4.0,4.0,2019,10.203555107263542,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A20e,1.0,3.4,5.8,8.0,32.0,3.0,3.0,2019,9.758403975346978,3.338882282996433,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A2 Core,1.0,2.8,5.0,5.0,8.0,1.0,2.6,2019,9.082507000466299,2.0736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M20 64GB,1.0,3.7,6.3,8.0,64.0,4.0,5.0,2019,9.82547195555139,6.36734693877551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A70 128GB 6GB,1.0,3.6,6.7,32.0,128.0,6.0,4.5,2019,10.404262840448617,5.774114502116284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A20,1.0,2.9,6.4,8.0,32.0,3.0,4.0,2019,9.758403975346978,2.7421874999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M10 32GB,1.0,2.8,6.22,5.0,32.0,3.0,3.4,2019,9.602314889901848,2.8287548722614533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A30 64GB,1.0,3.4,6.4,16.0,64.0,4.0,4.0,2019,10.056165720177834,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M30 64GB,1.0,3.9,6.4,16.0,64.0,4.0,5.0,2019,10.06475570013225,6.011718749999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sony Xperia X 32GB,1.0,4.5,5.0,13.0,32.0,3.0,2.62,2016,9.467228129254554,8.2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sony Xperia Z5 Premium,1.0,4.0,5.5,51.0,32.0,3.0,3.43,2015,10.584055950889214,27.419504132231406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sony Xperia Z5 Dual,1.0,3.5,5.2,51.0,32.0,3.0,2.9,2015,9.903487552536127,7.668639053254438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sony Xperia L1,1.0,3.3,5.5,5.0,16.0,2.0,2.62,2017,9.51044496442652,3.0466115702479337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lenovo Z6 Pro 6GB/128GB,1.0,5.0,6.39,32.0,128.0,6.0,4.0,2019,10.308919326755392,6.189248165046618,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo Z6 8GB/128GB,1.0,5.0,6.39,16.0,128.0,8.0,4.0,2019,10.308919326755392,6.189248165046618,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo Z6 6GB/128GB,1.0,5.0,6.39,16.0,128.0,6.0,4.0,2019,10.308919326755392,6.189248165046618,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
